row_id,area__rucc,area__urban_influence,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_excessive_drinking,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__homicides_per_100k,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,econ__economic_typology_Farm-dependent,econ__economic_typology_Federal/State government-dependent,econ__economic_typology_Manufacturing-dependent,econ__economic_typology_Mining-dependent,econ__economic_typology_Nonspecialized,econ__economic_typology_Recreation,yr_a,yr_b
0,7,3,0.358,0.08900000000000001,0.253,0.099,0.494,0.2,0.195,0.044000000000000004,0.517,0.37799999999999995,0.055999999999999994,0.0,0.22389558232931728,0.34538152610441764,0.2730923694779117,0.1576305220883534,10.0,11.0,0.345,0.21899999999999997,0.159,0.154,5429.0,0.317,12.0,5429.0,5429.0,5429.0,6949.0,0,1,0,0,0,0,0,1
2,5,2,0.503,0.057,0.171,0.065,0.503,0.243,0.166,0.017,0.016,0.9540000000000001,0.002,0.018000000000000002,0.11352418558736428,0.4846989141164858,0.2359328726554788,0.1658440276406713,12.0,11.0,0.29600000000000004,0.222,0.12300000000000001,0.08,3060.0,0.35,14.0,3060.0,3060.0,3060.0,1749.0,0,0,1,0,0,0,0,1
4,8,8,0.47100000000000003,0.07,0.297,0.122,0.49700000000000005,0.25,0.17800000000000002,0.5539999999999999,0.002,0.428,0.009000000000000001,0.008,0.2363455809334657,0.30983118172790464,0.3157894736842105,0.13803376365441905,10.0,11.0,0.267,0.29802293538670993,0.092,0.079,690.0,0.259,10.0,690.0,690.0,690.0,981.4781283387812,0,1,0,0,0,0,0,1
5,6,8,0.578,0.049,0.231,0.107,0.474,0.19399999999999998,0.196,0.031,0.002,0.9159999999999999,0.043,0.002,0.09136546184738956,0.3885542168674699,0.3493975903614457,0.1706827309236948,7.0,13.0,0.272,0.293,0.084,0.1,1430.0,0.249,11.0,1430.0,1430.0,1430.0,1160.0,0,1,0,0,0,0,0,1
8,0,0,0.53,0.046,0.262,0.067,0.513,0.20600000000000002,0.10099999999999999,0.433,0.096,0.294,0.011000000000000001,0.149,0.17159763313609466,0.26627218934911245,0.1903353057199211,0.3717948717948718,15.0,6.0,0.23199999999999998,0.165,0.08,0.086,1700.0,0.253,11.0,1700.0,1700.0,1700.0,1870.0,0,0,0,0,1,0,1,0
9,6,7,0.48100000000000004,0.065,0.158,0.040999999999999995,0.513,0.222,0.212,0.009000000000000001,0.0,0.966,0.012,0.004,0.08072653884964681,0.3733602421796165,0.34510595358224017,0.20080726538849647,11.0,12.0,0.302,0.268,0.11199999999999999,0.055,4649.0,0.302,11.0,4649.0,4649.0,4649.0,3139.0,0,0,0,0,1,0,1,0
10,8,11,0.45799999999999996,0.045,0.193,0.102,0.485,0.19399999999999998,0.28600000000000003,0.025,0.005,0.9540000000000001,0.005,0.0,0.06490872210953348,0.4006085192697769,0.3884381338742393,0.14604462474645027,9.0,12.0,0.32,0.099,0.151,0.049,3039.0,0.303,11.0,3039.0,3039.0,3039.0,6289.358481454103,1,0,0,0,0,0,1,0
11,5,5,0.413,0.09,0.244,0.054000000000000006,0.53,0.242,0.19399999999999998,0.021,0.428,0.5479999999999999,0.002,0.0,0.1779324055666004,0.4244532803180914,0.27435387673956263,0.12326043737574552,14.0,12.0,0.36700000000000005,0.262,0.132,0.142,6989.0,0.354,11.0,6989.0,6989.0,6989.0,7030.0,0,0,1,0,0,0,1,0
12,6,7,0.475,0.057999999999999996,0.21,0.083,0.49700000000000005,0.295,0.10099999999999999,0.08800000000000001,0.0,0.895,0.01,0.006,0.09605662285136504,0.3640040444893832,0.34175935288169873,0.1981799797775531,15.0,7.0,0.304,0.174,0.075,0.09300000000000001,1510.0,0.263,12.0,1510.0,1510.0,1510.0,2619.0,0,0,0,1,0,0,0,1
13,8,11,0.375,0.08,0.22899999999999998,0.062,0.504,0.222,0.184,0.028999999999999998,0.005,0.953,0.008,0.0,0.3107971745711403,0.3652875882946519,0.2290615539858729,0.09485368314833503,14.0,13.0,0.308,0.21,0.10099999999999999,0.113,3379.0,0.337,13.0,3379.0,3379.0,3379.0,2569.0,0,0,1,0,0,0,1,0
15,8,7,0.823,0.033,0.248,0.121,0.484,0.25,0.15,0.7859999999999999,0.013999999999999999,0.18899999999999997,0.011000000000000001,0.003,0.31409001956947163,0.3336594911937378,0.19765166340508808,0.15459882583170256,10.0,7.0,0.301,0.1875366426320101,0.1,0.14345203394466685,3431.44278943805,0.27899999999999997,9.0,3431.44278943805,3431.44278943805,3431.44278943805,3026.8256719323977,0,0,0,1,0,0,0,1
17,1,1,0.39299999999999996,0.10400000000000001,0.265,0.077,0.529,0.265,0.13,0.027000000000000003,0.486,0.475,0.0,0.0,0.2147177419354839,0.3991935483870969,0.2913306451612903,0.09475806451612903,14.0,12.0,0.358,0.092,0.131,0.128,11689.0,0.312,13.0,11689.0,11689.0,11689.0,2609.0,0,0,0,0,1,0,0,1
21,1,1,0.446,0.11599999999999999,0.313,0.096,0.502,0.312,0.09699999999999999,0.621,0.011000000000000001,0.315,0.027999999999999997,0.039,0.3191919191919192,0.2565656565656565,0.2898989898989899,0.13434343434343435,17.0,7.0,0.28,0.142,0.08,0.061,2139.0,0.2,10.0,2139.0,2139.0,2139.0,2349.0,0,0,0,0,1,0,1,0
